Engine_volume,Mileage,Doors,Prod_year,Cylinders,Airbags,Category,Leather_interior,Fuel_type,Gear_box_type,Drive_wheels,Wheel,Color
1.5,60000,4,2014,4.0,4,Hatchback,No,Hybrid,Automatic,Front,Right-hand drive,Silver
2.5,325812,2,1998,4.0,2,Microbus,No,Diesel,Manual,Front,Left wheel,White
2.5,179381,4,2014,4.0,12,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,Black
3.5,149486,4,2014,6.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Silver
1.6,41551,4,2017,4.0,4,Jeep,Yes,Petrol,Automatic,Front,Left wheel,Black
1.5,102528,4,2015,4.0,4,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,Black
1.8,117000,4,2013,4.0,12,Sedan,Yes,Petrol,Tiptronic,Front,Left wheel,Black
2.0,117492,4,2011,4.0,4,Coupe,Yes,Petrol,Automatic,Front,Left wheel,Grey
1.5,4494,4,2020,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Grey
2.4,80000,4,2010,4.0,8,Sedan,No,Hybrid,Automatic,Front,Left wheel,Golden
2.0,101124,4,2013,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
1.4,56431,4,2014,4.0,12,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,White
1.0,14300,4,2013,3.0,2,Hatchback,No,Petrol,Tiptronic,Front,Right-hand drive,White
2.0,68188,4,2017,4.0,12,Hatchback,No,Petrol,Automatic,Front,Left wheel,Red
2.0,93087,4,2017,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
1.4,66000,4,2017,4.0,8,Hatchback,No,Petrol,Tiptronic,Front,Left wheel,Silver
1.4,150000,4,2011,4.0,10,Hatchback,Yes,Plug-in Hybrid,Tiptronic,Front,Left wheel,Carnelian red
2.0,160487,4,2007,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Black
1.3,184250,4,2010,4.0,0,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,Grey
3.0,107000,4,2009,6.0,8,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Black
2.0,0,4,2002,6.0,6,Sedan,No,CNG,Manual,Front,Left wheel,Blue
2.5,60915,4,2018,4.0,0,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.4,227576,4,2010,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Grey
3.5,170429,2,2011,6.0,12,Coupe,Yes,Diesel,Automatic,Rear,Left wheel,Silver
1.0,50261,4,2012,4.0,4,Hatchback,Yes,Petrol,Automatic,Front,Left wheel,White
4.4,182000,4,2002,8.0,12,Sedan,Yes,Petrol,Tiptronic,Rear,Right-hand drive,Silver
2.2,0,5,2002,4.0,2,Microbus,No,Diesel,Manual,Rear,Left wheel,White
2.0,130180,4,2013,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Silver
3.5,0,4,2016,6.0,12,Jeep,Yes,Hybrid,Automatic,Front,Left wheel,Grey
1.6,55395,4,2012,4.0,12,Jeep,Yes,Petrol,Automatic,Front,Left wheel,Black
2.0,109336,4,2015,4.0,12,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Grey
1.6,0,4,2001,4.0,0,Goods wagon,No,Petrol,Manual,Front,Left wheel,White
2.5,164600,4,2009,4.0,10,Jeep,Yes,Hybrid,Automatic,Front,Left wheel,Grey
1.6,280000,4,1998,4.0,2,Hatchback,No,Petrol,Manual,4x4,Left wheel,Green
1.6,150000,4,1997,4.0,2,Universal,No,Petrol,Manual,Front,Left wheel,Blue
2.2,245000,2,2005,4.0,5,Sedan,No,Diesel,Tiptronic,Rear,Left wheel,White
2.4,47000,4,2014,4.0,6,Sedan,Yes,Petrol,Tiptronic,Front,Left wheel,Black
3.0,229966,4,2012,6.0,0,Jeep,Yes,Diesel,Automatic,4x4,Left wheel,Black
2.2,207442,4,2007,4.0,12,Jeep,Yes,Petrol,Automatic,Front,Left wheel,Red
2.0,99000,4,2016,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
2.0,150000,4,2015,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,Orange
1.8,198400,4,2015,4.0,6,Hatchback,No,Hybrid,Variator,Front,Left wheel,White
2.0,141000,4,2013,4.0,8,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,Carnelian red
2.0,62876,4,2016,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
1.9,196000,4,2009,4.0,10,Sedan,No,Diesel,Manual,Front,Left wheel,Silver
2.4,144123,4,2014,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
4.6,69918,4,2017,8.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,White
1.2,149734,4,2015,4.0,4,Hatchback,Yes,Petrol,Automatic,Front,Left wheel,Silver
1.6,75000,4,2013,4.0,8,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Grey
2.0,194210,4,2013,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
1.5,205712,4,2012,4.0,8,Hatchback,No,Hybrid,Automatic,Front,Left wheel,Brown
1.7,140000,4,2016,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
2.0,71486,4,2008,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Black
3.9,198030,4,2011,6.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
1.8,71904,4,2016,4.0,0,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,White
3.5,150000,4,2008,6.0,12,Jeep,Yes,Hybrid,Automatic,4x4,Left wheel,Black
2.5,60517,4,2010,4.0,4,Minivan,Yes,Diesel,Automatic,Front,Left wheel,Yellow
3.5,154000,4,2011,6.0,12,Jeep,Yes,Petrol,Tiptronic,Rear,Left wheel,Black
1.8,136000,4,2012,4.0,8,Hatchback,No,Hybrid,Variator,Front,Left wheel,Grey
5.9,20000,4,1999,8.0,12,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Black
3.5,91493,4,2016,6.0,0,Jeep,Yes,Petrol,Automatic,Rear,Left wheel,Black
3.5,189530,4,2010,6.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Black
2.5,166400,4,2014,4.0,10,Sedan,No,Petrol,Tiptronic,Front,Left wheel,Silver
4.5,149000,4,2003,8.0,12,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Black
1.8,72000,4,2015,4.0,9,Sedan,No,Petrol,Tiptronic,Front,Left wheel,Red
2.4,63000,4,2013,4.0,8,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
2.0,259733,4,2016,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,Silver
1.6,102000,4,2014,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.5,84000,4,2015,4.0,12,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Red
2.0,245452,4,2004,4.0,4,Goods wagon,No,Diesel,Manual,Front,Left wheel,Red
3.5,158000,4,2014,6.0,12,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,White
3.5,238357,4,2005,6.0,8,Sedan,Yes,Petrol,Tiptronic,4x4,Left wheel,Silver
1.8,256848,4,1998,4.0,5,Sedan,Yes,Petrol,Automatic,Rear,Right-hand drive,Green
2.0,150000,4,2015,4.0,12,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,White
1.6,66603,4,2016,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
2.0,26134,4,2018,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
2.4,116000,4,2011,4.0,12,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Brown
1.5,238784,4,2016,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
2.4,127507,4,2011,4.0,12,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,White
2.4,123000,4,2010,4.0,2,Microbus,No,Diesel,Manual,Rear,Left wheel,White
2.0,29545,4,2018,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Black
1.6,89323,4,2011,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
2.5,96000,4,2015,4.0,10,Sedan,No,Petrol,Tiptronic,Front,Left wheel,Silver
2.5,108000,4,2013,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
3.5,189530,4,2010,6.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Black
2.0,199348,4,2012,4.0,8,Hatchback,Yes,Plug-in Hybrid,Automatic,Front,Left wheel,Green
1.8,0,4,2017,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Grey
1.3,11111,4,2004,2.0,6,Hatchback,No,Petrol,Automatic,Front,Right-hand drive,White
4.6,188078,4,2015,8.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Black
1.8,187200,4,2014,4.0,8,Sedan,No,Petrol,Automatic,Front,Left wheel,Blue
3.5,52675,4,2017,6.0,12,Jeep,Yes,Petrol,Automatic,Rear,Left wheel,Blue
2.7,200000,4,2007,6.0,4,Jeep,Yes,Diesel,Tiptronic,4x4,Left wheel,Black
2.2,319990,4,1999,4.0,2,Sedan,No,Diesel,Manual,Rear,Left wheel,Silver
1.5,11000,4,2013,4.0,12,Hatchback,No,Hybrid,Variator,Front,Left wheel,Green
3.5,0,2,1997,6.0,8,Jeep,Yes,Petrol,Tiptronic,4x4,Right-hand drive,Silver
1.6,65249,4,2017,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
3.5,219030,4,2014,6.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Black
2.5,87462,4,2014,6.0,12,Sedan,Yes,Petrol,Automatic,Rear,Left wheel,Black
2.0,52000,4,2016,4.0,0,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
4.7,147200,4,2003,8.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Grey
1.8,0,4,2003,4.0,6,Sedan,Yes,Petrol,Tiptronic,4x4,Left wheel,Grey
4.6,190875,4,2017,8.0,12,Sedan,Yes,Petrol,Automatic,4x4,Left wheel,White
3.5,232357,4,2012,6.0,12,Jeep,Yes,Hybrid,Automatic,4x4,Left wheel,Black
2.0,157584,4,2013,4.0,0,Sedan,Yes,Petrol,Automatic,4x4,Left wheel,Black
1.7,51053,4,2016,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
1.8,150000,4,2011,4.0,12,Jeep,Yes,Hybrid,Automatic,Front,Left wheel,Grey
3.2,237000,2,1999,6.0,12,Coupe,Yes,Petrol,Tiptronic,Rear,Left wheel,Silver
1.5,123700,4,2013,4.0,4,Hatchback,Yes,Petrol,Automatic,Front,Left wheel,Black
2.5,116800,4,2013,4.0,12,Sedan,Yes,Petrol,Tiptronic,Front,Left wheel,Grey
1.5,147000,4,2012,4.0,0,Sedan,Yes,Hybrid,Variator,Front,Right-hand drive,White
2.2,200000,2,2006,6.0,3,Microbus,No,Diesel,Manual,Rear,Left wheel,Grey
1.6,0,4,1998,4.0,2,Sedan,No,Petrol,Manual,Front,Left wheel,Black
1.6,14000,4,2013,4.0,12,Jeep,Yes,Petrol,Tiptronic,Front,Right-hand drive,Grey
1.4,43371,4,2019,4.0,12,Minivan,Yes,Petrol,Automatic,Front,Left wheel,Silver
2.0,67200,2,2017,4.0,8,Coupe,No,Petrol,Tiptronic,Rear,Left wheel,Blue
4.7,240000,4,2003,8.0,6,Jeep,No,CNG,Automatic,4x4,Left wheel,Brown
1.6,65600,2,2011,4.0,4,Hatchback,Yes,Petrol,Tiptronic,Front,Left wheel,Silver
2.0,189966,4,2011,4.0,4,Sedan,Yes,Diesel,Automatic,Front,Left wheel,White
1.6,53871,4,2018,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.0,18000,4,2010,4.0,6,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,White
1.7,171339,2,2003,4.0,2,Goods wagon,No,Diesel,Manual,Front,Left wheel,White
3.5,273363,4,2003,6.0,9,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Grey
2.5,94000,4,2013,4.0,10,Jeep,No,Petrol,Tiptronic,4x4,Left wheel,White
1.5,77666,4,2014,1.0,0,Sedan,No,Petrol,Manual,Front,Left wheel,White
3.0,204461,4,2015,6.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,White
2.0,111000,4,2013,4.0,10,Jeep,Yes,Petrol,Automatic,Front,Left wheel,Carnelian red
3.5,233600,4,2004,6.0,6,Jeep,Yes,CNG,Variator,4x4,Left wheel,Silver
1.0,95000,4,2010,3.0,2,Hatchback,No,Petrol,Variator,Front,Right-hand drive,Green
1.3,127000,4,2006,4.0,5,Hatchback,No,Petrol,Automatic,Front,Right-hand drive,Black
2.5,35058,4,2018,4.0,12,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,White
3.2,212000,2,2003,6.0,8,Sedan,Yes,Petrol,Automatic,Rear,Left wheel,Pink
3.5,230696,4,2011,6.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Black
1.3,143597,4,2013,4.0,0,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,Silver
3.0,59099,4,2016,6.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,White
4.7,152000,4,2012,8.0,12,Sedan,Yes,Petrol,Automatic,4x4,Left wheel,Black
3.0,220000,4,2008,6.0,12,Sedan,Yes,Petrol,Variator,Rear,Left wheel,Silver
2.4,180973,4,2015,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.5,237853,4,2011,4.0,4,Universal,Yes,Diesel,Automatic,Front,Left wheel,Silver
1.8,150000,4,2011,4.0,12,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,Grey
1.1,218000,4,2005,4.0,4,Hatchback,No,Petrol,Manual,Front,Left wheel,Black
1.6,154148,4,2011,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
2.0,150000,4,2014,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,White
1.6,160000,4,2007,4.0,8,Hatchback,No,Petrol,Automatic,Front,Right-hand drive,Black
2.0,167512,4,2010,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Grey
1.8,135456,4,2012,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.0,150000,4,2004,4.0,4,Jeep,No,Petrol,Tiptronic,4x4,Right-hand drive,Black
0.7,0,2,2006,3.0,0,Pickup,No,Petrol,Manual,4x4,Right-hand drive,White
1.4,37400,4,2018,4.0,8,Sedan,No,Petrol,Automatic,Front,Left wheel,Black
1.6,172347,4,2012,4.0,12,Hatchback,Yes,Petrol,Automatic,Front,Left wheel,Red
3.0,175614,4,2008,6.0,12,Sedan,Yes,Diesel,Automatic,Rear,Left wheel,Black
2.4,82000,4,2012,4.0,14,Sedan,Yes,Petrol,Tiptronic,Front,Left wheel,Black
2.0,191263,4,2010,4.0,4,Coupe,Yes,Petrol,Automatic,Front,Left wheel,White
2.5,168000,4,2013,4.0,10,Sedan,No,Hybrid,Automatic,Front,Left wheel,Grey
1.1,14000,4,1986,4.0,0,Sedan,No,CNG,Manual,Rear,Left wheel,Red
1.4,17600,4,2019,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
3.2,1111,4,2000,6.0,10,Sedan,Yes,Diesel,Tiptronic,Rear,Left wheel,Blue
2.0,168000,4,2010,4.0,6,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.0,31000,4,2015,4.0,12,Jeep,Yes,Diesel,Tiptronic,Front,Left wheel,Silver
2.0,101179,4,2014,4.0,12,Sedan,Yes,Petrol,Automatic,4x4,Left wheel,Black
3.2,213866,2,2002,6.0,10,Coupe,Yes,Petrol,Manual,Rear,Left wheel,Black
3.5,0,4,2010,6.0,0,Jeep,No,Hybrid,Automatic,4x4,Left wheel,Black
2.4,192000,4,2008,4.0,12,Sedan,No,Hybrid,Tiptronic,Front,Left wheel,Silver
3.5,134114,4,2012,6.0,10,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,White
1.4,108000,2,2013,4.0,4,Hatchback,Yes,Petrol,Manual,Front,Left wheel,White
2.5,232000,4,1996,6.0,4,Sedan,Yes,Petrol,Manual,Rear,Left wheel,Green
2.0,258076,4,2012,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
1.4,6380,4,2018,4.0,8,Sedan,No,Petrol,Automatic,Front,Left wheel,White
2.0,250000,2,2001,4.0,8,Jeep,No,Petrol,Manual,Front,Left wheel,Green
1.5,41620,4,2012,4.0,4,Hatchback,Yes,Petrol,Automatic,Front,Left wheel,Yellow
2.0,34058,4,2016,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.4,21920,4,2013,6.0,11,Sedan,No,Hybrid,Automatic,Front,Left wheel,Silver
2.5,83000,4,2011,5.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
3.7,157000,5,2006,6.0,8,Jeep,Yes,CNG,Tiptronic,4x4,Left wheel,Silver
2.4,214000,4,2008,4.0,2,Microbus,No,Diesel,Manual,Rear,Left wheel,Orange
1.6,150000,4,2008,2.0,0,Sedan,No,Hybrid,Automatic,4x4,Left wheel,Grey
3.0,83600,4,2014,6.0,12,Sedan,Yes,Diesel,Automatic,Rear,Left wheel,Black
2.0,0,4,2014,4.0,0,Jeep,Yes,Hybrid,Automatic,4x4,Left wheel,Silver
1.4,138491,4,2014,4.0,0,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,Black
3.6,101000,4,2013,8.0,8,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Grey
1.5,291200,4,2008,4.0,8,Hatchback,No,Petrol,Automatic,Front,Left wheel,White
2.0,35200,4,2017,4.0,6,Sedan,Yes,Petrol,Tiptronic,Rear,Left wheel,White
1.5,117000,4,2012,4.0,4,Hatchback,No,Hybrid,Variator,Front,Right-hand drive,Silver
4.6,27573,4,2016,8.0,12,Sedan,Yes,Petrol,Automatic,4x4,Left wheel,Silver
1.8,89000,4,2015,4.0,10,Sedan,No,Petrol,Tiptronic,Front,Left wheel,Blue
2.5,1000,4,2003,6.0,4,Goods wagon,No,Petrol,Tiptronic,4x4,Left wheel,White
1.8,181129,4,2009,4.0,12,Sedan,No,Hybrid,Automatic,Front,Left wheel,Black
2.0,0,2,2001,4.0,2,Microbus,No,Diesel,Manual,Front,Left wheel,White
1.8,123498,4,2015,4.0,12,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,Black
2.0,111307,4,2013,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
1.5,59200,4,2013,4.0,6,Hatchback,Yes,Petrol,Manual,Front,Left wheel,Red
2.0,78000,4,2014,4.0,12,Sedan,No,Petrol,Manual,Front,Left wheel,Silver
2.5,93170,4,2015,4.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Red
2.4,324613,4,2010,4.0,12,Sedan,Yes,Hybrid,Automatic,Front,Left wheel,White
3.0,0,4,2012,6.0,12,Sedan,Yes,Petrol,Tiptronic,Rear,Left wheel,Brown
1.8,174106,4,2012,4.0,0,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,White
2.5,167360,4,2012,4.0,6,Sedan,Yes,Petrol,Tiptronic,Front,Left wheel,White
2.0,230000,4,2012,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Silver
2.0,181155,4,2011,4.0,8,Sedan,Yes,Petrol,Tiptronic,4x4,Left wheel,Black
2.0,251201,4,2014,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Silver
1.3,136000,4,2011,4.0,6,Hatchback,No,Hybrid,Variator,Front,Right-hand drive,Silver
3.5,223472,4,2011,6.0,12,Sedan,Yes,Diesel,Automatic,4x4,Left wheel,Black
1.0,233700,4,2011,4.0,6,Hatchback,No,Petrol,Manual,Front,Left wheel,White
5.5,1000,4,2009,8.0,8,Sedan,Yes,Petrol,Tiptronic,Rear,Left wheel,Black
2.5,152282,4,2016,4.0,12,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Silver
2.0,150000,4,2014,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,Orange
2.4,97000,4,2012,4.0,12,Sedan,Yes,Hybrid,Tiptronic,Front,Left wheel,Black
2.4,11213,4,2019,4.0,12,Jeep,Yes,Petrol,Automatic,Front,Left wheel,Red
2.5,162332,4,2009,4.0,4,Universal,Yes,Diesel,Automatic,Front,Left wheel,Yellow
2.4,50345,4,2015,4.0,12,Jeep,No,Petrol,Tiptronic,4x4,Left wheel,Blue
1.2,0,4,2016,3.0,2,Hatchback,Yes,Hybrid,Variator,Front,Right-hand drive,White
2.0,89000,4,2011,4.0,12,Sedan,Yes,LPG,Automatic,Front,Left wheel,Silver
3.5,245762,4,2012,6.0,12,Jeep,Yes,Diesel,Automatic,4x4,Left wheel,Black
3.0,80000,4,2015,6.0,12,Jeep,Yes,Petrol,Tiptronic,4x4,Left wheel,Blue
1.7,179000,4,2005,4.0,6,Hatchback,No,Diesel,Manual,Front,Left wheel,Silver
2.4,129776,4,2011,4.0,4,Jeep,Yes,Petrol,Automatic,Front,Left wheel,White
1.5,77000,4,2011,7.0,12,Hatchback,No,Hybrid,Tiptronic,Front,Left wheel,White
2.4,146552,4,2013,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
1.8,73674,4,2016,4.0,12,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Silver
4.6,102907,4,2015,8.0,0,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,Black
2.5,203073,4,2016,4.0,4,Universal,Yes,Diesel,Automatic,Front,Left wheel,Grey
3.5,342622,4,2011,6.0,12,Jeep,Yes,Hybrid,Automatic,4x4,Left wheel,Black
2.5,50877,4,2014,4.0,4,Minivan,Yes,Diesel,Automatic,Front,Left wheel,Black
3.5,170429,2,2011,6.0,12,Coupe,Yes,Diesel,Automatic,Rear,Left wheel,Silver
2.5,150000,4,2013,4.0,8,Jeep,No,Petrol,Tiptronic,4x4,Left wheel,Green
1.8,150000,4,1997,4.0,2,Sedan,No,CNG,Manual,Front,Left wheel,Silver
1.8,67074,4,2015,4.0,12,Hatchback,Yes,Hybrid,Automatic,Front,Left wheel,White
2.0,150000,4,2015,4.0,4,Sedan,Yes,LPG,Automatic,Front,Left wheel,Orange
2.5,108000,4,2014,4.0,10,Sedan,Yes,Petrol,Tiptronic,Front,Left wheel,White
3.0,208000,4,2004,6.0,2,Jeep,Yes,CNG,Automatic,4x4,Right-hand drive,Silver
1.5,128000,4,2014,4.0,4,Hatchback,No,Hybrid,Automatic,4x4,Right-hand drive,Silver
2.0,143370,4,2015,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
1.5,0,5,2007,4.0,4,Hatchback,No,Petrol,Automatic,Front,Left wheel,Blue
1.8,150000,4,2011,4.0,12,Jeep,Yes,Hybrid,Automatic,Front,Left wheel,Grey
2.5,105461,4,2014,4.0,4,Minivan,Yes,Diesel,Automatic,Front,Left wheel,Grey
2.0,64512,4,2015,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Grey
1.0,4800,4,2019,3.0,10,Jeep,No,Petrol,Tiptronic,Front,Left wheel,Golden
2.0,57248,4,2008,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,White
3.2,19000,4,2003,6.0,12,Sedan,Yes,LPG,Tiptronic,Rear,Left wheel,Black
2.5,75000,4,2013,5.0,6,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Blue
1.6,87521,4,2015,4.0,4,Sedan,Yes,Diesel,Automatic,Front,Left wheel,White
2.0,260000,4,2000,4.0,6,Sedan,Yes,Petrol,Manual,Rear,Left wheel,Silver
2.5,41068,4,2018,4.0,10,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
1.6,149935,4,2012,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,Black
3.5,181189,4,2011,6.0,12,Jeep,Yes,Petrol,Automatic,4x4,Left wheel,White
2.4,74400,4,2005,6.0,6,Sedan,No,Petrol,Automatic,Front,Right-hand drive,Silver
3.3,52000,4,2012,6.0,2,Hatchback,Yes,Petrol,Automatic,4x4,Left wheel,Black
2.0,70000,5,2014,4.0,10,Sedan,Yes,Petrol,Tiptronic,Rear,Left wheel,Black
1.6,31691,4,2013,4.0,4,Sedan,Yes,Petrol,Automatic,Front,Left wheel,White
2.0,130339,4,2010,4.0,4,Jeep,Yes,Diesel,Automatic,Front,Left wheel,Silver
1.5,176000,4,2012,4.0,6,Hatchback,No,Hybrid,Automatic,Front,Left wheel,White
